,titles,images,ratings,prices
15,"Samsung 16"" Galaxy Book4 Pro Business Laptop, Wi-Fi PC Computer, Windows 11 PRO, Intel Core 7 Ultra 155H / 32GB / 1TB, 3K AMOLED Touchscreen, 2024 Model, NP964XGK-KG1US, Moonstone Gray",https://m.media-amazon.com/images/I/71ysHVMH4FL._AC_UY218_.jpg,4.5 out of 5 stars,"$1,782."
16,"Dell Latitude 7490 14 HD Anti-Glare, Intel Core i5-8350U, 16GB DDR4, 256GB Solid State Drive, Webcam, Bluetooth, Windows 10Pro (Renewed)",https://m.media-amazon.com/images/I/61q+tu0yBnL._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
17,"Owl Labs Meeting Owl 3 - 360° 1080p HD Conference Room Camera, AI-Driven Speaker-Tracking, 18-Foot Mic Pickup - Certified for Microsoft Teams - Works with Zoom, Google Meet - Plug & Play Setup",https://m.media-amazon.com/images/I/81EUSSdh7qL._AC_UY218_.jpg,4.5 out of 5 stars,No Price mentioned
18,"RICOH 150 Portable 15.6"" Vivid OLED 300nit Lightweight Display Monitor and Touchscreen w/Dual Speakers - for Laptop, Desktop, Mac, PC",https://m.media-amazon.com/images/I/71ozrmE6CcL._AC_UY218_.jpg,4.1 out of 5 stars,$560.
19,Lenovo Urban Laptop Sleeve 14 Inch for Laptop/ Notebook/Tablet Compatible with MacBook Air/Pro Water Resistant - Charcoal Grey,https://m.media-amazon.com/images/I/61j4ywk+3cL._AC_UY218_.jpg,4.7 out of 5 stars,$11.
20,"SAMSUNG 14"" Galaxy Book4 Pro Business Laptop, Wi-Fi PC Computer, Windows 11 PRO, Intel Core 7 Ultra 155H / 16GB / 1TB, 3K AMOLED Touchscreen, 2024 Model, NP944XGK-KG1US, Moonstone Gray",https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UY218_.jpg,4.5 out of 5 stars,"$1,571."
21,"ZAGG 11+ Standard Protective Laptop Sleeve – Fits 11-13 Inch Tablets, Chromebooks, and Laptops, Water-Resistant Neoprene Case with ID Holder",https://m.media-amazon.com/images/I/61en4Q2lg1L._AC_UY218_.jpg,3.0 out of 5 stars,$14.
22,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",https://m.media-amazon.com/images/I/61QGMX0Qy6L._AC_UY218_.jpg,4.3 out of 5 stars,$321.
23,"Dell Chromebook 3180 Laptop Computer, 11.6 Inch Laptop PC, Intel Celeron N3060, 4GB RAM, 16GB SSD, Web Camera, Wi-Fi, Bluetooth, HDMI, Chrome OS (Renewed)",https://m.media-amazon.com/images/I/61LL4o6N-rL._AC_UY218_.jpg,3.7 out of 5 stars,No Price mentioned
24,"Lenovo V15 Portable Laptop, 15.6"" FHD Anti-Glare Display, Business and Everyday Use, Intel Dual Core Processor, 8GB RAM, 128GB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71xkIYioQzL._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
25,"Lenovo Gen 12 ThinkPad X1 Carbon Laptop with Intel Ultra 7 165U vPro Processor, 14"" WUXGA 100% sRGB Touchscreen, 32GB 6400MHz RAM, 1TB Gen4 Performance SSD, FHD+ IR+ RGB Camera, and Windows 11 Pro",https://m.media-amazon.com/images/I/61GSvJjxBuL._AC_UY218_.jpg,5.0 out of 5 stars,No Price mentioned
26,"ASUS 2023 Vivobook 14 Laptop, 14” FHD (1920 x 1080) Display, Intel Core i5-1235U CPU, Intel Iris Xᵉ Graphics, 8GB RAM, 256GB SSD, Windows 11 Home, Quiet Blue, F1404ZA-AS51",https://m.media-amazon.com/images/I/71+LIOKehyL._AC_UY218_.jpg,4.0 out of 5 stars,No Price mentioned
27,"ASUS Vivobook 15.6” FHD Laptop, AMD Ryzen 3 3250U, 8GB RAM, 128GB SSD, Windows 11 Home, Transparent Silver, M515DA-WS33",https://m.media-amazon.com/images/I/61FYc36J93L._AC_UY218_.jpg,4.1 out of 5 stars,No Price mentioned
28,"HP 15.6 inch Laptop, FHD Display, 12th Gen Intel Core i5, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home, 15-dy5399nr (2023),Silver",https://m.media-amazon.com/images/I/71IxGQfy4TL._AC_UY218_.jpg,4.3 out of 5 stars,No Price mentioned
29,"Lenovo ThinkBook 15 Gen 4 Business Laptop (15.6"" FHD, 12th Gen Intel 10-Core i7-1255U, 16GB RAM, 512GB SSD), 1080p Webcam, Fingerprint, IST SD Card, Wi-Fi 6, Ethernet, Win 11 Pro, Grey - 2024",https://m.media-amazon.com/images/I/61gN2CYZJNL._AC_UY218_.jpg,4.8 out of 5 stars,$699.
30,"Lenovo ThinkPad X1 Titanium Yoga 2-in-1 Business Laptop (13.5"" QHD Touchscreen, Intel Core i5-1130G7, 16GB RAM, 1TB SSD, Precision Pen), Lightweight 2.54lbs, 3-Year Warranty, Win 11 Pro, Silver",https://m.media-amazon.com/images/I/71og5ST+6WL._AC_UY218_.jpg,4.2 out of 5 stars,$899.
31,"HP 15.6 inch Laptop PC, Processor: 13th Generation Intel® Core™ i7, Graphics: Intel® Iris® Xe Graphicsc, 16 GB DDR4-3200 MHz RAM, 512GB SSD, Windows 11 Home (Silver, 15-fd0099nr)",https://m.media-amazon.com/images/I/71cdlw1zCZL._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
32,"Lenovo ThinkPad E14 Gen 5 Business Laptop, 14"" FHD+ Display, AMD Ryzen 7 7730U (Beat i7-1255U), 16GB RAM, 512GB SSD, FP Reader, Backlit Keyboard, HDMI, RJ45, Wi-Fi 6, Windows 11 Pro, Black",https://m.media-amazon.com/images/I/71sxwp5iwjL._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
33,"EYY 15.6 Inch Windows 11 Pro Laptop Computer, Intel Core i5 Processor Laptops, 16GB RAM 512GB SSD, MS Office 2024, 15.6"" FHD 100% sRGB 1920 * 1080, Dual Band Wi-Fi, Bluetooth, Type-C, USB 3.0, HDMI",https://m.media-amazon.com/images/I/81SC8aYkdoL._AC_UY218_.jpg,5.0 out of 5 stars,$314.
34,"SAMSUNG 16"" Galaxy Book4 Pro Laptop PC Computer, Intel Core 7 Ultra Processor 1TB, 3K AMOLED (2880 x 1800) Touchscreen, Advanced Security, 2024 Model, NP960XGK-KG1US, Moonstone Gray",https://m.media-amazon.com/images/I/71ysHVMH4FL._AC_UY218_.jpg,4.3 out of 5 stars,"$1,274."
35,"Lenovo ThinkBook 15 Gen 4 Business Laptop (15.6"" FHD, 12th Gen Intel 10-Core i7-1255U, 16GB RAM, 512GB SSD), 1080p Webcam, Fingerprint, IST SD Card, Wi-Fi 6, Ethernet, Win 11 Pro, Grey - 2024",https://m.media-amazon.com/images/I/716gH+KWvuL._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
36,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",https://m.media-amazon.com/images/I/71tXLOE7wIL._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
37,"Dell Inspiron 5645 Laptop - 16.0 16:10 FHD+ (1920 x 1200) Display, AMD Ryzen 7-8840U, 16GB DDR5 RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, Onsite & Migrate Services - Midnight Blue",https://m.media-amazon.com/images/I/818WO3r8jhL._AC_UY218_.jpg,4.2 out of 5 stars,$775.
38,"Everki Advance Laptop Briefcase Bag 17.3 Inch - Business Briefcase for Men & Women,Computer Bag for Laptops, Laptop Travel Bag, Heavy Duty Laptop Bag, Laptop Carrying Bag- (EKB407NCH17) Black",https://m.media-amazon.com/images/I/91OHt6Z56UL._AC_UY218_.jpg,4.7 out of 5 stars,$50.
39,StarTech.com FireWire800 ExpressCard Adapter for Laptops,https://m.media-amazon.com/images/I/81walZxb7ZL._AC_UY218_.jpg,4.2 out of 5 stars,$60.
40,"Satco S49393 Corncob LED HID Light Bulb, Mogul Extended Base, 45W, 35000 Hour Rating, 6210L, Natural Light",https://m.media-amazon.com/images/I/71RZl6mFoTL._AC_UY218_.jpg,No Rating,$42.
41,"Kensington MP16 MacBook Magnetic Privacy Screen for 16"" MacBook Pro (2021 and Newer)",https://m.media-amazon.com/images/I/71hqLQQs0lL._AC_UY218_.jpg,4.3 out of 5 stars,$40.
42,"HP 14 Laptop (14"" Micro-Edge, Intel N4120, 16GB RAM, 192GB(64GB eMMC+128GB SD), 1-Yr Microsoft 365, 11-Hrs Long Battery Life, Narrow-Bezel, Webcam, WiFi, Win 11 Home in S Mode, Student & Home, White",https://m.media-amazon.com/images/I/61f2UX3wIzL._AC_UY218_.jpg,4.1 out of 5 stars,$279.
43,"Dell Latitude 5330 Business Laptop (13.3"""" FHD, Intel 10-Core i7-1265U Vpro, 16GB RAM, 1TB SSD, IST Card) 2 x Thunderbolt 4, Backlit KB, Fingerprint, Webcam, NFC, 2024 Latitude 5000, Win 11 Pro, Gray",https://m.media-amazon.com/images/I/71EeDgzCwqL._AC_UY218_.jpg,4.7 out of 5 stars,$999.
44,"HP ProBook 450 G10 Business Laptop 15.6” FHD Intel i7-1355U 16GB RAM 512GB NVMe, Wi-Fi 6, RJ-45, Webcam, HDMI, Backlit Keyboard, Win 11 Pro - Silver",https://m.media-amazon.com/images/I/61nBSp60zOL._AC_UY218_.jpg,No Rating,No Price mentioned
45,"HP Business Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor (Up to 4.10 GHz), 16GB RAM, 1TB SSD, 11 Hr Battery Life, Micro-Edge, Anti-Glare Screen, Thin & Portable, Win 11",https://m.media-amazon.com/images/I/81kmD33aJ4L._AC_UY218_.jpg,4.1 out of 5 stars,$422.
46,"HP 15 Pavilion Laptop for Business and Students (15.6"" FHD, Intel 6-Core i3-1215U, 16GB RAM, 512GB SSD) Narrow-Bezel, FP, Long Battery Life, Webcam, Numpad, IST SD Card, Win 11 Home, Silver",https://m.media-amazon.com/images/I/71pZEweCZxL._AC_UY218_.jpg,3.8 out of 5 stars,$429.
47,"Apple 2023 MacBook Pro Laptop with Apple M2 Pro chip with 12‑core CPU and 19‑core GPU: 16.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Silver",https://m.media-amazon.com/images/I/61bwiPRcv2L._AC_UY218_.jpg,4.7 out of 5 stars,"$1,869."
48,"Lenovo Laptop V15 for Business (15.6"" FHD, AMD 6-Core Ryzen 5 5500U (Beat i7-1065G7), 16GB RAM, 1TB SSD), Webcam w/Shutter, Military Grade, Numeric Keypad, IST Cable, Ethernet, Wi-Fi, Win 11 Pro",https://m.media-amazon.com/images/I/61MwgCZQM4L._AC_UY218_.jpg,4.6 out of 5 stars,$569.
49,"Lenovo ThinkPad T14 Gen 5 Business Laptop (14"" FHD+ Touchscreen, Intel Ultra 7 155U (>i7-13700H), 32GB DDR5, 1TB SSD), 5MP Webcam, 2 Thunderbolt 4, 3-Yr WRT, IST Hub, 2024 AI PC, Win 11 Pro",https://m.media-amazon.com/images/I/712kpoMQ-zL._AC_UY218_.jpg,4.7 out of 5 stars,No Price mentioned
50,"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",https://m.media-amazon.com/images/I/51U9xem9OxL._AC_UY218_.jpg,3.9 out of 5 stars,No Price mentioned
51,"ASUS TUF Gaming A17 (2023) Gaming Laptop, 17.3” FHD 144Hz Display, GeForce RTX 4060, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707NV-ES74",https://m.media-amazon.com/images/I/61JHBCsTZxL._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
52,"Lenovo IdeaPad Flex 5i 2-in-1 Laptop (14"" FHD+ Touchscreen, Intel Core i3-1215U, 8GB RAM, 256GB SSD) Convertible, Fingerprint, FHD Webcam, 9-Hr Battery Life, IST Pen, Win 11 Home in S Mode, Grey",https://m.media-amazon.com/images/I/71Xr2eHLQJL._AC_UY218_.jpg,4.5 out of 5 stars,No Price mentioned
53,"SAMSUNG 15.6"" Galaxy Book3 Business Laptop Computer/Windows 11 PRO/16GB - 512GB/ 13th Gen Intel® Core™ i7 processor, 2023 Model, NP754XFG-KB1US, Silver",https://m.media-amazon.com/images/I/61cKICdQSUL._AC_UY218_.jpg,4.6 out of 5 stars,No Price mentioned
54,"HP 2023 Newest Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",https://m.media-amazon.com/images/I/51PsNbMd-CL._AC_UY218_.jpg,4.2 out of 5 stars,$184.
55,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 128GB SSD) Space Gray (Renewed)",https://m.media-amazon.com/images/I/41DeT328kPL._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
56,"HP 15.6 Inch Laptop, Intel Iris Xe Graphics, 11th Generation Intel Core Processor, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",https://m.media-amazon.com/images/I/71RD3vsjIYL._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
57,"ASUS Zenbook S 13 OLED Laptop, 13.3” OLED 3K 60Hz Display, Intel Evo Certified, Intel Core Ultra 7 155U CPU, Intel Graphics, 32GB RAM, 1TB SSD, Windows 11 Pro, Basalt Gray, UX5304MA-XS76",https://m.media-amazon.com/images/I/61TgDEN6HXL._AC_UY218_.jpg,4.3 out of 5 stars,No Price mentioned
58,Fossil Men's Leather Laptop Folio for Men,https://m.media-amazon.com/images/I/41sYqpFXaYL._AC_UY218_.jpg,No Rating,$105.
59,"UBeesize 10.5in Laptop Ring Light with Stand and Phone Holder for Desk, Zoom Lighting for Computer, Video Recording, Streaming, Video Conference, Video Calls",https://m.media-amazon.com/images/I/61VUD60G-aL._AC_UY218_.jpg,4.7 out of 5 stars,$35.
60,"Crucial X9 2TB Portable SSD - Up to 1050MB/s Read - PC and Mac, Lightweight and Small with 3-Month Mylio Photos+ Offer - USB 3.2 External Solid State Drive - CT2000X9SSD902",https://m.media-amazon.com/images/I/617wLoahucL._AC_UY218_.jpg,4.5 out of 5 stars,$119.
61,"USB-C 9-in-1 Dual Display Docking Station with HDMI, Ethernet, USB, 3.5mm Audio and Power Delivery up to 60W - 4K 30Hz (TAA Compliant)",https://m.media-amazon.com/images/I/41d3fb6VcKL._AC_UY218_.jpg,5.0 out of 5 stars,$127.
62,"Lenovo 100E Laptop G2 AST 11.6"" AMD A4-9120C 4GB 32GB Chrome OS (Renewed)",https://m.media-amazon.com/images/I/71KgPRij6+L._AC_UY218_.jpg,4.5 out of 5 stars,No Price mentioned
63,"DELL Inspiron 15 15.6"" Business Laptop (FHD Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 512GB PCIe SSD, (6-Core Beat i7-1165G7)) Numeric Keypad, Webcam, 2024 Inspiron 3000 3535, Win 11 Pro, Carbon Black",https://m.media-amazon.com/images/I/61ZUE6b3gEL._AC_UY218_.jpg,4.2 out of 5 stars,$529.
64,"HP 17 Laptop, 17.3"" FHD Screen, AMD Ryzen 5 5500U, 32GB SSD, 1TB SSD, Webcam, HDMI, Fingerprint Reader, Wi-Fi, Windows 11 Home, Silver",https://m.media-amazon.com/images/I/61slxFdcTEL._AC_UY218_.jpg,4.3 out of 5 stars,No Price mentioned
65,"Dell Chromebook 11 3100 11.6"" Chromebook - 1366 x 768 - Celeron N4020-4 GB RAM - 16 GB Flash Memory - Chrome OS - Intel HD Graphics - English (US) Keyboard - Bluetooth (Renewed)",https://m.media-amazon.com/images/I/61zTekYPPRL._AC_UY218_.jpg,4.1 out of 5 stars,No Price mentioned
66,"Dell Latitude 7420 FHD Laptop Notebook with Intel Core i7 11th Gen Processor (16GB Ram, 512GB SSD, WiFi, Bluetooth) Windows 11 Pro - Carbon Fiber (Renewed)",https://m.media-amazon.com/images/I/61VRqYjVIvL._AC_UY218_.jpg,4.1 out of 5 stars,No Price mentioned
67,"Dell Inspiron 15 3000 3520 15.6"" FHD Touchscreen (Intel 4-Core i5-1135G7, 32GB RAM, 1TB PCIe SSD, UHD Graphics) Business Laptop, WVA Anti-Glare, Numeric Keypad, Webcam, Wi-Fi, Win 11 Pro - 2024 Black",https://m.media-amazon.com/images/I/61apmtXrgQL._AC_UY218_.jpg,4.2 out of 5 stars,$589.
68,"HP 17 inch Laptop, HD+ Display, 12th Generation Intel Core i5-1235U, 8 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home, 17-cn2099nr (2023),Silver",https://m.media-amazon.com/images/I/61iAdX4jIeL._AC_UY218_.jpg,4.5 out of 5 stars,No Price mentioned
69,"HP Business Laptop, 15.6"" HD Touchscreen, Intel Core i3-1115G4 Processor (Up to 4.10 GHz), 32GB RAM, 1TB SSD, 11 Hr Battery Life, Micro-Edge, Anti-Glare Screen, Thin & Portable, Win 11",https://m.media-amazon.com/images/I/81kmD33aJ4L._AC_UY218_.jpg,4.4 out of 5 stars,$475.
70,Dell Latitude 5590 Business Laptop | 15.6in HD Screen | Intel Quad Core 8th Gen i7-8650U | 16GB DDR4 RAM | 512GB SSD | Windows 10 Professional (Renewed),https://m.media-amazon.com/images/I/61fNtN82ymL._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
71,"HP EliteBook 845 (14"" FHD, AMD Ryzen 5, 16GB RAM, 512GB SSD,",https://m.media-amazon.com/images/I/61gmQxHE3rL._AC_UY218_.jpg,4.6 out of 5 stars,$459.
72,"HP Stream 14 inches HD (1366x768) Display, Intel Celeron N4000 Dual-Core Processor, 4GB RAM, 64GB eMMC, HDMI, WiFi, Webcam, Bluetooth, Win10 S, Royal Blue (Renewed)",https://m.media-amazon.com/images/I/71sOrI1hB9L._AC_UY218_.jpg,4.3 out of 5 stars,No Price mentioned
73,"Lenovo ThinkPad E16 Business Laptop (16"" FHD+ Anti-glare, Intel 13th Gen 10-Core i7-1355U, 40GB RAM, 1TB SSD), Backlit, Fingerprint Reader, FHD Webcam, Ethernet, Wi-Fi 6, Win 11 Pro, Black",https://m.media-amazon.com/images/I/71fh1YRKIiL._AC_UY218_.jpg,4.1 out of 5 stars,$999.
74,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch HD Touchscreen, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0070nr, 2021, Pale Rose Gold)",https://m.media-amazon.com/images/I/515oexO4VOL._AC_UY218_.jpg,4.2 out of 5 stars,No Price mentioned
75,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",https://m.media-amazon.com/images/I/712VAsKBk-L._AC_UY218_.jpg,4.2 out of 5 stars,$229.
76,"ASUS Laptop L510 Ultra Thin Laptop, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 10 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-DH02",https://m.media-amazon.com/images/I/61YgV5cx1wL._AC_UY218_.jpg,3.6 out of 5 stars,No Price mentioned
77,"Lenovo IdeaPad 3 Laptop, 15.6” FHD Touchscreen Display, Intel Core i5-1135G7 Processor, 20GB RAM, 1TB SSD, Wi-Fi 6, SD Card Reader, HDMI, Webcam, Windows 11 Pro, Grey",https://m.media-amazon.com/images/I/61fQ3g11shL._AC_UY218_.jpg,4.3 out of 5 stars,$572.
78,"Kensington MP15 MacBook Magnetic Privacy Screen for 15"" MacBook Air (2023 and Newer)",https://m.media-amazon.com/images/I/71ZJJOrS8BL._AC_UY218_.jpg,4.3 out of 5 stars,$39.
79,Crucial RAM 16GB Kit (2x8GB) DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Desktop Memory CT2K8G4DFRA32A,https://m.media-amazon.com/images/I/61fwPjPIHjL._AC_UY218_.jpg,No Rating,$34.
80,"SAMSUNG 14"" Galaxy Book4 Pro Laptop PC Computer, Intel Core 7 Ultra Processor 512GB, 3K AMOLED (2880 x 1800) Touchscreen, Advanced Security, 2024 Model, NP940XGK-KG1US, Moonstone Gray",https://m.media-amazon.com/images/I/6131ZgIFn1L._AC_UY218_.jpg,4.1 out of 5 stars,"$1,231."
81,"SAMSUNG 16"" Galaxy Book4 Pro Laptop PC Computer, Intel Core 7 Ultra Processor 1TB, 3K AMOLED (2880 x 1800) Touchscreen, Advanced Security, 2024 Model, NP960XGK-KG1US, Moonstone Gray",https://m.media-amazon.com/images/I/71ysHVMH4FL._AC_UY218_.jpg,4.3 out of 5 stars,"$1,274."
82,"HP Chromebook 15 15.6"" HD (Intel Pentium N6000, 8GB RAM, 128GB Storage (64GB eMMc + 64GB SD Card), UHD Graphics, Numeric KB) Home & Student Laptop, Anti-Glare, Webcam, Wi-Fi, Chrome OS, Silver",https://m.media-amazon.com/images/I/61fBSyMHtdL._AC_UY218_.jpg,4.4 out of 5 stars,$299.
83,"Lenovo - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro",https://m.media-amazon.com/images/I/71Tp0GOd33L._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
84,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",https://m.media-amazon.com/images/I/81b6IIclRfS._AC_UY218_.jpg,4.4 out of 5 stars,No Price mentioned
85,"acer Aspire 1 A115-32-C96U Home & Student Slim Laptop (15.6"" FHD, Intel Celeron N4500, 16GB RAM, 256GB SSD, UHD Graphics) 1-Year Office 365, Ethernet, Wi-Fi, Webcam, IST Hub, Win 11 Home, Silver",https://m.media-amazon.com/images/I/718vyZuLoyL._AC_UY218_.jpg,4.5 out of 5 stars,$339.
